week,date_wp,time,blue oak,live oak
10,2022-03-08,md,20,13
10,2022-03-08,pd,13,5
11,2022-03-15,md,9,NA
11,2022-03-15,pd,12,6
12,2022-03-23,pd,2,NA
12,2022-03-25,md,9,6
12,2022-03-25,pd,10,7
14,2022-03-30,pd,19,8
14,2022-04-04,md,11,NA
14,2022-04-04,pd,21,10
14,2022-04-06,md,20,7
15,2022-04-11,md,5,NA
15,2022-04-11,pd,20,NA
15,2022-04-13,md,31,4
17,2022-04-25,md,36,11
17,2022-04-25,pd,36,13
19,2022-05-09,md,37,9
19,2022-05-09,pd,23,11
21,2022-05-23,md,31,13
21,2022-05-23,pd,40,16
29,2022-07-19,md,36,13
29,2022-07-19,pd,33,12
37,2022-09-15,md,34,16
37,2022-09-15,pd,31,13
