analysis,variable,date_wp,time,r_squared,p_value
dcwc_alldata,water_potential,2022-03-08,pd,0.52,0.012
dcwc_alldata,water_potential,2022-05-23,pd,0.32,0.008
dcwc_alldata,water_potential,2022-09-15,md,0.585,0
dcwc_alldata,water_potential,2022-04-04,pd,0.628,0.019
dcwc_alldata,water_potential,2022-04-11,md,0.482,0.008
dcwc_alldata,water_potential,2022-07-19,pd,0.602,0.014
dcwc_alldata,water_potential,2022-08-18,md,0.505,0.032
dcwc_alldata,lwa_g_cm2,2022-03-08,pd,0.433,0.028
dcwc_alldata,lwa_g_cm2,2022-08-18,pd,0.68,0.044
dcwc_alldata,lwc_mean,2022-03-08,pd,0.646,0.003
dcwc_alldata,lwc_mean,2022-05-23,pd,0.196,0.045
dcwc_alldata,lwc_mean,2022-05-09,md,1,0
dcwc_alldata,lwc_mean,2022-04-04,pd,0.627,0.019
dcwc_alldata,lwc_mean,2022-04-11,pd,0.635,0.032
dcwc_alldata,lwc_mean,2022-04-13,pd,0.635,0.032
dcwc_alldata,lwc_mean,2022-07-19,md,0.575,0.029
dcwc_alldata,lma_g_cm2,2022-05-09,NA,1,0
dcwc_alldata,lma_g_cm2,2022-07-19,NA,0.444,0.009
dcwc_alldata,lma_g_cm2,2022-09-15,NA,0.096,0.036
dcwc_alldata,lma_g_cm2,2022-08-18,NA,0.385,0.018
dcwc_beforeleafout,water_potential,2022-09-15,md,0.45,0.006
dcwc_beforeleafout,water_potential,2022-04-04,pd,0.862,0.007
dcwc_beforeleafout,water_potential,2022-07-19,md,0.861,0.001
dcwc_beforeleafout,water_potential,2022-08-18,pd,0.94,0.001
dcwc_beforeleafout,water_potential,2022-08-18,md,0.591,0.015
dcwc_beforeleafout,lwa_g_cm2,2022-03-08,md,0.59,0.026
dcwc_beforeleafout,lwa_g_cm2,2022-05-23,md,0.995,0
dcwc_beforeleafout,lwa_g_cm2,2022-09-15,pd,0.241,0.045
dcwc_beforeleafout,lwa_g_cm2,2022-07-19,pd,0.74,0.013
dcwc_beforeleafout,lwc_mean,2022-05-23,md,0.652,0.009
dcwc_beforeleafout,lwc_mean,2022-05-23,pd,0.292,0.046
dcwc_beforeleafout,lwc_mean,2022-03-25,md,0.515,0.03
dcwc_beforeleafout,lwc_mean,2022-07-19,md,0.613,0.022
dcwc_beforeleafout,lma_g_cm2,2022-05-23,NA,0.479,0.004
dcwc_beforeleafout,lma_g_cm2,2022-07-19,NA,0.383,0.018
dcwc_beforeleafout,lma_g_cm2,2022-09-15,NA,0.328,0
dcwc_afterleafout,water_potential,2022-09-15,pd,0.311,0.004
dcwc_afterleafout,water_potential,2022-09-15,md,0.441,0.003
dcwc_afterleafout,water_potential,2022-04-06,pd,0.686,0.021
dcwc_afterleafout,water_potential,2022-03-30,pd,0.686,0.021
dcwc_afterleafout,water_potential,2022-04-13,pd,0.714,0.017
dcwc_afterleafout,water_potential,2022-04-11,pd,0.714,0.017
dcwc_afterleafout,water_potential,2022-07-19,pd,0.531,0.026
dcwc_afterleafout,lwa_g_cm2,2022-09-15,pd,0.373,0.002
dcwc_afterleafout,lwc_mean,2022-09-15,pd,0.287,0.006
dcwc_afterleafout,lwc_mean,2022-05-09,md,1,0
dcwc_afterleafout,lwc_mean,2022-04-04,pd,0.549,0.035
dcwc_afterleafout,lwc_mean,2022-04-11,md,0.368,0.028
dcwc_afterleafout,lma_g_cm2,2022-05-09,NA,1,0
dcwc_afterleafout,lma_g_cm2,2022-05-23,NA,0.353,0.001
dcwc_afterleafout,lma_g_cm2,2022-07-19,NA,0.594,0.001
dcwc_afterleafout,lma_g_cm2,2022-09-15,NA,0.338,0
dcwc_afterleafout,lma_g_cm2,2022-08-18,NA,0.475,0.006
dcwc_justmay,water_potential,2022-03-08,pd,0.422,0.031
dcwc_justmay,water_potential,2022-09-15,pd,0.251,0.011
dcwc_justmay,water_potential,2022-09-15,md,0.23,0.044
dcwc_justmay,water_potential,2022-07-19,pd,0.482,0.038
dcwc_justmay,lwc_mean,2022-09-15,md,0.254,0.014
dcwc_justmay,lwc_mean,2022-05-09,md,1,0
dcwc_justmay,lwc_mean,2022-04-13,md,0.661,0.026
dcwc_justmay,lma_g_cm2,2022-04-04,NA,0.997,0
dcwc_justmay,lma_g_cm2,2022-05-09,NA,1,0
dcwc_justmay,lma_g_cm2,2022-07-19,NA,0.465,0.007
dcwc_justmay,lma_g_cm2,2022-09-15,NA,0.089,0.044
dcwc_justmay,lma_g_cm2,2022-04-11,NA,0.997,0
